source,end,CON,LAB,LDEM,UKIP,GRN,CON_LEAD
Opinium/Observer,2020-05-07,49,33,6,,5.0,16
Redfield and Wilton/,2020-05-06,50,31,7,,5.0,19
YouGov/Times,2020-05-06,50,30,7,,5.0,20
Opinium/Observer,2020-05-01,51,33,6,,3.0,18
Survation/,2020-04-28,48,31,8,,5.0,17
Redfield and Wilton/,2020-04-26,50,33,7,,4.0,17
Opinium/Observer,2020-04-23,50,33,7,,3.0,17
Kantar/,2020-04-20,54,28,9,,4.0,26
YouGov/Times,2020-04-17,53,32,5,,3.0,21
Opinium/Observer,2020-04-17,51,32,6,,3.0,19
Redfield and Wilton/,2020-04-17,52,31,8,,3.0,21
BMG/Independent,2020-04-09,46,29,10,,6.0,17
Opinium/Observer,2020-04-09,55,29,5,,4.0,26
Opinium/Observer,2020-04-03,53,30,7,,3.0,23
YouGov/Times,2020-04-02,52,28,8,,5.0,24
Redfield and Wilton/,2020-04-02,49,29,8,,4.0,20
Opinium/Observer,2020-03-27,54,28,6,,3.0,26
NCPolitics/Bloomberg,2020-03-26,54,28,7,,4.0,26
Redfield and Wilton/,2020-03-23,47,29,8,,5.0,18
Opinium/Observer,2020-03-20,51,31,7,,3.0,20
Ipsos-MORI/Evening Standard,2020-03-16,52,30,9,,4.0,22
Opinium/Observer,2020-03-13,49,32,6,,5.0,17
Kantar Public/,2020-03-09,50,29,11,,2.0,21
BMG/Independent,2020-03-06,45,28,11,,6.0,17
YouGov/Times,2020-03-02,49,30,8,,5.0,19
SavantaComRes/Sunday Express,2020-02-20,47,31,9,,4.0,16
Opinium/Observer,2020-02-14,47,32,7,,4.0,15
Redfield and Wilton/,2020-02-12,49,31,9,,4.0,18
YouGov/Times,2020-02-10,48,28,10,,6.0,20
BMG/Independent,2020-02-07,41,29,11,,8.0,12
Ipsos-MORI/Evening Standard,2020-02-03,47,30,11,,5.0,17
Survation/,2020-01-31,44,33,10,,3.0,11
YouGov/Times,2020-01-26,49,29,10,,4.0,20
Opinium/Observer,2020-01-17,47,30,9,,4.0,17
BMG/Independent,2020-01-10,44,29,11,,5.0,15
Deltapoll/,2019-12-11,45,35,10,,3.0,10
Kantar/,2019-12-11,44,32,13,,3.0,12
BMG/The Independent,2019-12-11,41,32,14,,3.0,9
Opinium/,2019-12-11,45,33,12,,2.0,12
Panelbase/,2019-12-11,43,34,11,,3.0,9
Survation/,2019-12-11,45,34,9,,3.0,11
Ipsos-MORI/Evening Standard,2019-12-11,44,33,12,,3.0,11
Number Cruncher Politics/Bloomberg,2019-12-10,43,33,12,,3.0,10
YouGov/Times/Sky (MRP),2019-12-10,43,34,12,,3.0,9
SavantaComRes/The Daily Telegraph,2019-12-10,41,36,12,,2.0,5
ICM Research/Reuters,2019-12-09,42,36,12,,2.0,6
Qriously/,2019-12-08,43,30,12,,4.0,13
SavantaComRes/Remain United,2019-12-08,43,36,12,,2.0,7
Survation/Good Morning Britain,2019-12-07,45,31,11,,2.0,14
Deltapoll/The Mail on Sunday,2019-12-07,44,33,11,,2.0,11
Panelbase/,2019-12-06,43,34,13,,2.0,9
Opinium/The Observer,2019-12-06,46,31,13,,2.0,15
BMG/The Independent,2019-12-06,41,32,14,,4.0,9
YouGov/The Sunday Times,2019-12-06,43,33,13,,3.0,10
SavantaComRes/Remain United,2019-12-05,42,36,11,,2.0,6
SavantaComRes/The Sunday Telegraph,2019-12-05,41,33,12,,2.0,8
Ipsos-MORI/Evening Standard,2019-12-04,44,32,13,,3.0,12
YouGov/Times/Sky,2019-12-03,42,33,12,,4.0,9
ComRes/Telegraph,2019-12-03,42,32,12,,2.0,10
Kantar/,2019-12-02,44,32,15,,3.0,12
ICM/Reuters,2019-12-02,42,35,13,,2.0,7
Survation/Good Morning Britain,2019-11-30,42,33,11,,4.0,9
Deltapoll/Mail on Sunday,2019-11-30,45,32,15,,1.0,13
BMG/Independent,2019-11-29,39,33,13,,5.0,6
Opinium/Observer,2019-11-29,46,31,13,,3.0,15
YouGov/Sunday Times,2019-11-29,43,34,13,,3.0,9
Panelbase/,2019-11-28,42,34,13,,3.0,8
SavantaComRes/Sunday Telegraph,2019-11-28,43,33,13,,3.0,10
YouGov/Times/Sky,2019-11-26,43,32,13,,2.0,11
SavantaComRes/Telegraph,2019-11-26,41,34,13,,2.0,7
ICM/Reuters,2019-11-25,41,34,13,,3.0,7
Kantar/,2019-11-25,43,32,14,,4.0,11
Deltapoll/Mail on Sunday,2019-11-23,43,30,16,,3.0,13
Survation/Good Morning Britain,2019-11-23,41,30,15,,3.0,11
Panelbase/,2019-11-22,42,32,14,,3.0,10
Opinium/Observer,2019-11-22,47,28,12,,3.0,19
YouGov/Sunday Times,2019-11-22,42,30,16,,4.0,12
SavantaComRes/Sunday Express,2019-11-21,42,32,15,,2.0,10
BMG/Independent,2019-11-21,41,28,18,,5.0,13
YouGov/Times/Sky,2019-11-20,43,29,15,,3.0,14
Ipsos MORI/Evening Standard,2019-11-19,44,28,16,,3.0,16
YouGov/Times,2019-11-19,42,30,15,,4.0,12
SavantaComRes/Telegraph,2019-11-19,42,31,15,,2.0,11
Kantar/,2019-11-18,45,27,16,,3.0,18
YouGov/Times/Sky,2019-11-18,42,30,15,,4.0,12
ICM/Reuters,2019-11-18,42,32,13,,3.0,10
Deltapoll/Mail on Sunday,2019-11-16,45,30,11,,3.0,15
Survation/GMB,2019-11-16,42,28,13,,3.0,14
BMG/Independent,2019-11-15,37,29,16,,5.0,8
Opinium/Observer,2019-11-15,44,28,14,,3.0,16
YouGov/Sunday Times,2019-11-15,45,28,15,,3.0,17
Panelbase/,2019-11-14,43,30,15,,2.0,13
ComRes/Sunday Telegraph,2019-11-14,41,33,14,,2.0,8
YouGov/Times/Sky,2019-11-12,42,28,15,,4.0,14
ComRes/Telegraph,2019-11-12,40,30,16,,3.0,10
Kantar/,2019-11-11,37,27,17,,3.0,10
ICM/Reuters,2019-11-11,39,31,15,,3.0,8
ComRes/Britain Elects,2019-11-10,37,29,17,,3.0,8
Deltapoll/Mail on Sunday,2019-11-09,41,29,16,,2.0,12
Opinium/Observer,2019-11-08,41,29,15,,2.0,12
Panelbase/,2019-11-08,40,30,15,,3.0,10
YouGov/Sunday Times,2019-11-08,39,26,17,,4.0,13
Survation/,2019-11-08,35,29,17,,1.0,6
BMG/Independent,2019-11-08,37,29,16,,7.0,8
YouGov/Times/Sky,2019-11-06,36,25,17,,5.0,11
ComRes/Remain United,2019-11-05,36,29,17,,3.0,7
YouGov/Times,2019-11-04,38,25,16,,5.0,13
ICM/Reuters,2019-11-04,38,31,15,,3.0,7
Deltapoll/Mail on Sunday,2019-11-02,40,28,14,,2.0,12
Opinium/Observer,2019-11-01,42,26,16,,2.0,16
YouGov/Sunday Times,2019-11-01,39,27,16,,4.0,12
Panelbase/,2019-10-31,40,29,14,,3.0,11
ORB/Sunday Telegraph,2019-10-31,36,28,14,,4.0,8
ComRes/Sunday Express,2019-10-31,36,28,17,,3.0,8
Survation/Daily Mail,2019-10-30,34,26,19,,1.0,8
YouGov/Times,2019-10-30,36,21,18,,6.0,15
Ipsos-MORI/Evening Standard,2019-10-28,41,24,20,,3.0,17
Opinium/Observer,2019-10-25,40,24,15,,3.0,16
YouGov/,2019-10-25,36,23,18,,6.0,13
Deltapoll/,2019-10-21,37,24,19,,3.0,13
YouGov/Times,2019-10-21,37,22,19,,7.0,15
Survation/Daily Mail,2019-10-18,32,24,21,,2.0,8
Panelbase/,2019-10-18,36,27,17,,3.0,9
Opinium/Observer,2019-10-17,37,24,16,,4.0,13
ComRes/Britain Elects,2019-10-17,33,29,18,,4.0,4
Kantar/,2019-10-15,39,25,18,,3.0,14
YouGov/Times,2019-10-15,37,22,18,,5.0,15
Panelbase/Sunday Times,2019-10-11,33,30,17,,3.0,3
ComRes/Express,2019-10-10,33,27,18,,4.0,6
YouGov/Times,2019-10-09,35,22,20,,6.0,13
ICM/Represent Us,2019-10-07,35,29,16,,4.0,6
ComRes/Telegraph,2019-10-06,33,27,19,,3.0,6
Opinium/Observer,2019-10-04,38,23,15,,4.0,15
BMG/Independent,2019-10-04,31,26,20,,7.0,5
YouGov/Times,2019-10-01,34,21,23,,5.0,11
YouGov/Sunday Times,2019-09-27,33,22,21,,5.0,11
Opinium/Observer,2019-09-27,36,24,20,,2.0,12
YouGov/Times,2019-09-25,33,22,22,,6.0,11
Survation/Daily Mail,2019-09-25,27,24,22,,3.0,3
Opinium/Observer,2019-09-20,37,22,17,,4.0,15
YouGov/People’s Vote,2019-09-20,30,23,22,,5.0,7
ComRes/Britain Elects,2019-09-19,29,27,20,,4.0,2
YouGov/Times,2019-09-18,32,21,23,,4.0,9
Ipsos-MORI/Evening Standard,2019-09-16,33,24,23,,4.0,9
Opinium/Observer,2019-09-13,37,25,16,,2.0,12
ComRes/Sunday Express,2019-09-12,28,27,20,,5.0,1
YouGov/Times,2019-09-10,32,23,19,,7.0,9
Kantar/,2019-09-09,38,24,20,,3.0,14
Deltapoll/Sun on Sunday,2019-09-07,31,28,17,,4.0,3
Opinium/Observer,2019-09-06,35,25,17,,3.0,10
ComRes/Britain Elects,2019-09-06,31,27,20,,3.0,4
BMG/Independent,2019-09-06,31,27,19,,,4
YouGov/Sunday Times,2019-09-06,35,21,19,,7.0,14
Panelbase/,2019-09-06,31,28,19,,2.0,3
Survation/Daily Mail,2019-09-06,29,24,18,,3.0,5
ICM/Represent Us,2019-09-03,37,30,16,,4.0,7
YouGov/Times,2019-09-03,35,25,16,,7.0,10
Deltapoll/Mail on Sunday,2019-08-31,35,24,18,,4.0,11
Survation/Daily Mail,2019-08-30,31,24,21,,3.0,7
YouGov/,2019-08-29,33,22,21,,7.0,11
YouGov/Times,2019-08-28,34,22,17,,8.0,12
YouGov/Sunday Times,2019-08-23,33,21,19,,7.0,12
Opinium/Observer,2019-08-23,32,26,15,,4.0,6
YouGov/Times,2019-08-21,32,22,20,,7.0,10
Kantar/,2019-08-19,42,28,15,,3.0,14
YouGov/Times,2019-08-14,30,21,20,,8.0,9
BMG/Independent,2019-08-12,31,25,19,,6.0,6
ComRes/Telegraph,2019-08-11,31,27,16,,4.0,4
Survation/,2019-08-11,28,24,21,,3.0,4
Opinium/Observer,2019-08-09,31,28,13,,5.0,3
ComRes/Telegraph,2019-08-08,30,29,17,,4.0,1
YouGov/Times,2019-08-06,31,22,21,,7.0,9
Ipsos-MORI/Evening Standard,2019-07-30,34,24,20,,6.0,10
YouGov/Times,2019-07-30,32,22,19,,8.0,10
ComRes/Britain Elects,2019-07-28,29,30,16,,5.0,-1
Deltapoll/Mail on Sunday,2019-07-27,30,25,18,,4.0,5
